k_ep,k_run,t,Policy_Flip,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,OF_x_est,OF_y_est,Tau,OF_x,OF_y,d_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,1431.144,-32.767,0.000,--,--,--,-0.712,-0.036,0.371,1.821,-0.039,0.085,-0.025,0.127,-0.010,0.992,-0.160,-0.810,-0.058,-2.691,14.599,-1.464,False,False,0.000,0.000,0.000,19.884,0.022,-1.067,1.709,0.466,0.469,0.846,0.129,12.122,12.385,12.713,10.320,56780,57374,58104,52426,-0.454,0.000,0.359,1.767,0.000,0.228,0.000,0.000,2.000,3.500,--
0,0,1431.163,-1.366,0.000,--,--,--,-0.676,-0.036,0.374,1.863,-0.028,0.134,-0.026,0.119,-0.008,0.993,-0.120,-0.910,-0.019,-2.879,13.642,-1.303,False,False,0.000,0.000,0.000,12.702,0.016,-1.093,1.708,0.465,0.503,0.853,0.088,11.852,12.495,12.655,10.309,56522,57898,57768,52836,-0.419,0.000,0.364,1.767,0.000,0.268,0.000,0.000,2.000,3.500,--
0,0,1431.183,-1.366,0.000,--,--,--,-0.638,-0.037,0.377,1.902,-0.018,0.186,-0.028,0.111,-0.008,0.993,-0.150,-0.900,-0.044,-3.047,12.682,-1.296,False,False,0.000,0.000,0.000,9.133,0.010,-1.118,1.702,0.457,0.493,0.911,0.105,11.721,12.472,12.479,10.227,56246,57526,57752,52168,-0.383,0.000,0.369,1.767,0.000,0.308,0.000,0.000,2.000,3.500,--
0,0,1431.202,-1.366,0.000,--,--,--,-0.600,-0.037,0.382,1.939,-0.007,0.243,-0.029,0.102,-0.007,0.994,-0.080,-0.870,-0.054,-3.232,11.728,-1.129,False,False,0.000,0.000,0.000,6.979,0.004,-1.143,1.700,0.454,0.502,0.805,0.113,11.817,12.144,12.292,10.094,56076,56830,57166,51840,-0.348,0.000,0.376,1.767,0.000,0.348,0.000,0.000,2.000,3.500,--
0,0,1431.211,-1.366,0.000,--,--,--,-0.581,-0.037,0.384,1.953,-0.002,0.273,-0.029,0.098,-0.007,0.995,-0.020,-0.750,-0.072,-3.237,11.250,-1.116,False,False,0.000,0.000,0.000,6.209,0.000,-1.153,1.692,0.444,0.302,0.489,0.130,11.719,11.411,12.013,10.169,55548,54826,56224,51754,-0.295,0.000,0.387,1.767,0.000,0.408,0.000,0.000,2.000,3.500,--
0,0,1431.238,-1.366,0.000,--,--,--,-0.523,-0.037,0.395,1.990,0.021,0.367,-0.030,0.087,-0.007,0.996,0.140,-0.700,-0.044,-3.407,9.975,-1.094,False,False,0.000,0.000,0.000,4.586,-0.013,-1.182,1.688,0.441,0.227,0.502,0.102,11.719,11.411,12.013,10.169,54618,54482,55618,51672,-0.295,0.000,0.387,1.767,0.000,0.408,0.000,0.000,2.000,3.500,--
0,0,1431.260,-1.366,0.000,--,--,--,-0.484,-0.036,0.403,2.012,0.030,0.430,-0.029,0.080,-0.008,0.996,0.240,-0.710,-0.092,-3.244,9.177,-1.215,False,False,0.000,0.000,0.000,3.898,-0.019,-1.201,1.676,0.430,-0.047,0.578,0.150,11.344,10.816,11.947,10.064,52930,52126,55176,50042,-0.242,0.000,0.400,1.767,0.000,0.468,0.000,0.000,2.000,3.500,--
0,0,1431.283,-1.366,0.000,--,--,--,-0.444,-0.035,0.412,2.028,0.037,0.487,-0.026,0.073,-0.008,0.997,0.310,-0.770,-0.049,-2.936,8.385,-1.170,False,False,0.000,0.000,0.000,3.421,-0.023,-1.217,1.667,0.424,-0.051,0.654,0.109,11.052,10.615,12.042,9.889,51768,52070,54342,49722,-0.207,0.000,0.410,1.767,0.000,0.508,0.000,0.000,2.000,3.500,--
0,0,1431.304,-1.366,0.000,--,--,--,-0.404,-0.035,0.423,2.038,0.051,0.545,-0.024,0.066,-0.008,0.997,0.300,-0.820,-0.065,-2.627,7.593,-1.128,False,False,0.000,0.000,0.000,3.038,-0.032,-1.231,1.662,0.421,-0.019,0.619,0.124,10.762,10.710,11.763,9.766,51580,51454,53900,49104,-0.171,0.000,0.421,1.767,0.000,0.548,0.000,0.000,2.000,3.500,--
0,0,1431.324,-1.366,0.000,--,--,--,-0.364,-0.033,0.434,2.046,0.059,0.601,-0.022,0.058,-0.010,0.998,0.280,-0.830,-0.062,-2.469,6.639,-1.255,False,False,0.000,0.000,0.000,2.734,-0.037,-1.244,1.651,0.416,0.057,0.645,0.119,10.650,10.676,11.573,9.574,51132,51196,53286,48436,-0.136,0.000,0.432,1.767,0.000,0.588,0.000,0.000,2.000,3.500,--
