time,omega
0,0
0.067,0
0.134,0
0.201,0
0.268,0
0.335,0
0.402,0
0.469,0
0.537,0
0.604,0
0.671,0
0.738,0
0.805,0
0.872,0
0.939,0
1.006,0
1.073,0
1.14,0
1.207,0
1.274,0
1.341,0
1.408,0
1.475,0
1.542,0
1.609,0
1.676,0
1.743,0
1.81,0
1.877,0
1.945,0
2.012,0
2.079,0
2.146,0
2.213,0
2.28,0
2.347,0
2.414,0
2.481,0
2.548,0
2.615,0
2.682,0
2.749,0
2.816,0
2.883,0
2.95,0
3.017,0
3.084,0
3.151,0
3.218,0
3.285,0
3.353,0
3.42,0
3.487,0
3.554,0
3.621,0
3.688,0
3.755,0
3.822,0
3.889,0
3.956,0
4.023,0
4.09,0
4.157,0
4.224,0
4.291,0
4.358,0
4.425,0
4.492,0
4.559,0
4.626,0
4.693,0
4.761,0
4.828,0
4.895,0
4.962,0
5.029,0
5.096,0
5.163,0
5.23,0
5.297,0
5.364,0
5.431,0
5.498,0
5.565,0
5.632,0
5.699,0
5.766,468.89
5.833,890.9
5.9,1219.13
5.967,1312.9
6.034,1406.68
6.101,1500.46
6.169,1478.4
6.236,1594.24
6.303,1594.24
6.37,1547.35
6.437,1500.46
6.504,1547.35
6.571,1500.46
6.638,1500.46
6.705,1547.35
6.772,1500.46
6.839,1547.35
6.906,1500.46
6.973,1500.46
7.04,1500.46
7.107,1547.35
7.174,1547.35
7.241,1547.35
7.308,1547.35
7.375,1500.46
7.442,1547.35
7.509,1500.46
7.577,1524.6
7.644,1547.35
7.711,1547.35
7.778,1547.35
7.845,1500.46
7.912,1547.35
7.979,1500.46
8.046,1547.35
8.113,1547.35
8.18,1500.46
8.247,1547.35
8.314,1547.35
8.381,1547.35
8.448,1500.46
8.515,1547.35
8.582,1500.46
8.649,1500.46
8.716,1547.35
8.783,1500.46
8.85,1547.35
8.917,1500.46
8.985,1524.6
9.052,1547.35
9.119,1500.46
9.186,1547.35
9.253,1500.46
9.32,1547.35
9.387,1500.46
9.454,1500.46
9.521,1500.46
9.588,1547.35
9.655,1500.46
9.722,1500.46
9.789,1547.35
9.856,1500.46
9.923,1500.46
9.99,1500.46
10.057,1500.46
10.124,1547.35
10.191,1500.46
10.258,1547.35
10.325,1547.35
10.393,1524.6
10.46,1547.35
10.527,1500.46
10.594,1547.35
10.661,1547.35
10.728,1594.24
10.795,1781.8
10.862,2156.91
10.929,2297.58
10.996,2297.58
11.063,2344.47
11.13,2344.47
11.197,2344.47
11.264,2344.47
11.331,2344.47
11.398,2344.47
11.465,2344.47
11.532,2344.47
11.599,2344.47
11.666,2344.47
11.733,2297.58
11.801,2402.39
11.868,2344.47
11.935,2297.58
12.002,2438.25
12.069,2344.47
12.136,2344.47
12.203,2344.47
12.27,2297.58
12.337,2344.47
12.404,2344.47
12.471,2344.47
12.538,2297.58
12.605,2391.36
12.672,2344.47
12.739,2297.58
12.806,2391.36
12.873,2344.47
12.94,2344.47
13.007,2344.47
13.074,2344.47
13.141,2297.58
13.209,2309.99
13.276,2344.47
13.343,2344.47
13.41,2391.36
13.477,2344.47
13.544,2344.47
13.611,2297.58
13.678,2344.47
13.745,2344.47
13.812,2344.47
13.879,2438.25
13.946,2344.47
14.013,2344.47
14.08,2297.58
14.147,2297.58
14.214,2391.36
14.281,2297.58
14.348,2344.47
14.415,2344.47
14.482,2391.36
14.549,2297.58
14.617,2356.19
14.684,2344.47
14.751,2344.47
14.818,2391.36
14.885,2297.58
14.952,2391.36
15.019,2297.58
15.086,2297.58
15.153,2391.36
15.22,2344.47
15.287,2391.36
15.354,2344.47
15.421,2344.47
15.488,2297.58
15.555,2297.58
15.622,2344.47
15.689,2344.47
15.756,2344.47
15.823,1875.58
15.89,1547.35
15.957,1219.13
16.025,1016.4
16.092,890.9
16.159,750.23
16.226,703.34
16.293,609.56
16.36,562.67
16.427,515.78
16.494,468.89
16.561,422
16.628,422
16.695,328.23
16.762,375.12
16.829,281.34
16.896,281.34
16.963,281.34
17.03,234.45
17.097,234.45
17.164,234.45
17.231,187.56
17.298,187.56
17.365,140.67
17.433,138.6
17.5,140.67
17.567,140.67
17.634,93.78
17.701,93.78
17.768,93.78
17.835,46.89
17.902,93.78
17.969,46.89
18.036,46.89
18.103,46.89
18.17,0
18.237,46.89
18.304,0
18.371,0
18.438,0
18.505,0
18.572,0
18.639,0
18.706,0
18.773,0
18.841,0
18.908,0
18.975,0
19.042,0
19.109,0
19.176,0
19.243,0
19.31,0
19.377,0
19.444,0
19.511,0
19.578,0
19.645,0
19.712,0
19.779,0
19.846,0
19.913,0
19.98,0
20.047,0
20.114,0
20.181,0
20.249,0
20.316,0
20.383,0
20.45,0
20.517,0
20.584,0
20.651,0
20.718,0
20.785,0
