time,omega
0,0
0.050999999999995,0
0.101999999999997,0
0.152999999999999,0
0.204999999999998,0
0.256,0
0.306999999999995,0
0.357999999999997,0
0.408999999999999,0
0.460999999999999,0
0.512,0
0.562999999999995,0
0.613999999999997,0
0.664999999999999,0
0.716999999999999,0
0.768000000000001,0
0.818999999999996,0
0.869999999999997,0
0.920999999999999,0
0.972999999999999,0
1.024,0
1.075,0
1.126,0
1.177,0
1.229,0
1.28,0
1.331,0
1.382,0
1.433,0
1.485,0
1.536,0
1.587,0
1.638,0
1.689,0
1.741,0
1.792,0
1.843,0
1.894,0
1.945,0
1.997,0
2.04799999999999,0
2.099,0
2.15,0
2.201,0
2.253,0
2.30399999999999,0
2.355,0
2.406,0
2.457,0
2.509,0
2.56,0
2.611,0
2.662,0
2.713,0
2.765,0
2.816,0
2.867,0
2.918,0
2.969,0
3.021,0
3.072,0
3.123,0
3.174,0
3.225,0
3.277,0
3.328,0
3.379,0
3.43,0
3.481,0
3.533,0
3.584,0
3.635,0
3.686,0
3.73699999999999,0
3.789,0
3.84,0
3.891,0
3.942,0
3.99299999999999,0
4.045,0
4.096,0
4.147,308
4.198,1478.4
4.249,2155.99
4.301,2356.19
4.352,2587.19
4.403,2587.19
4.454,2648.79
4.505,2587.19
4.557,2597.86
4.608,2587.19
4.659,2587.19
4.71,2587.19
4.761,2587.19
4.813,2477.02
4.864,2587.19
4.915,2587.19
4.966,2587.19
5.017,2648.79
5.069,2537.44
5.12,2587.19
5.171,2587.19
5.222,2525.59
5.273,2587.19
5.325,2537.44
5.376,2587.19
5.427,2587.19
5.478,2587.19
5.529,2525.59
5.581,2477.02
5.632,2587.19
5.683,2648.79
5.734,2587.19
5.785,2587.19
5.837,2537.44
5.888,2587.19
5.939,2587.19
5.99,2587.19
6.041,2587.19
6.093,2477.02
6.144,2525.59
6.195,2587.19
6.246,2587.19
6.297,2587.19
6.349,2537.44
6.4,2587.19
6.451,2525.59
6.502,2587.19
6.553,2587.19
6.605,2537.44
6.656,2587.19
6.707,2587.19
6.758,2587.19
6.809,2525.59
6.861,2477.02
6.912,2648.79
6.963,2587.19
7.014,2587.19
7.065,2587.19
7.117,2537.44
7.168,2525.59
7.219,2587.19
7.27,2587.19
7.321,2587.19
7.373,2537.44
7.424,2525.59
7.475,2525.59
7.526,2525.59
7.577,2587.19
7.629,2537.44
7.68,2587.19
7.731,2587.19
7.782,2587.19
7.833,2587.19
7.885,2537.44
7.936,2587.19
7.987,2587.19
8.038,2587.19
8.089,2587.19
8.141,2477.02
8.192,2525.59
8.243,2587.19
8.294,2587.19
8.34499999999999,2587.19
8.397,2537.44
8.448,2587.19
8.499,2525.59
8.55,2587.19
8.60099999999999,2587.19
8.653,2537.44
8.704,2587.19
8.755,2587.19
8.806,2587.19
8.85699999999999,2525.59
8.909,2537.44
8.96,2587.19
9.011,2587.19
9.06200000000001,2587.19
9.11299999999999,2587.19
9.165,2356.19
9.216,2155.99
9.267,2032.8
9.31800000000001,1971.2
9.36899999999999,1909.6
9.421,1872.87
9.472,1848
9.523,1848
9.57400000000001,1848
9.62499999999999,1909.6
9.677,1812.46
9.728,1848
9.779,1848
9.82999999999999,1848
9.88099999999999,1848
9.933,1812.46
9.984,1848
10.035,1909.6
10.086,1848
10.137,1848
10.189,1812.46
10.24,1848
10.291,1848
10.342,1848
10.393,1848
10.445,1812.46
10.496,1848
10.547,1848
10.598,1848
10.649,1848
10.701,1812.46
10.752,1848
10.803,1848
10.854,1848
10.905,1848
10.957,1812.46
11.008,1848
11.059,1848
11.11,1848
11.161,1848
11.213,1812.46
11.264,1848
11.315,1848
11.366,1848
11.417,1786.4
11.469,1752.04
11.52,1786.4
11.571,1786.4
11.622,1786.4
11.673,1848
11.725,1812.46
11.776,1848
11.827,1848
11.878,1848
11.929,1848
11.981,1752.04
12.032,1786.4
12.083,1786.4
12.134,1848
12.185,1848
12.237,1812.46
12.288,1848
12.339,1786.4
12.39,1786.4
12.441,1786.4
12.493,1752.04
12.544,1848
12.595,1848
12.646,1848
12.697,1848
12.749,1812.46
12.8,1786.4
12.851,1786.4
12.902,1786.4
12.953,1848
13.005,1812.46
13.056,1848
13.107,1786.4
13.158,1786.4
13.209,1848
13.261,1872.87
13.312,1786.4
13.363,1786.4
13.414,1786.4
13.465,1848
13.517,1812.46
13.568,1848
13.619,1786.4
13.67,1786.4
13.721,1786.4
13.773,1812.46
13.824,1848
13.875,1848
13.926,1848
13.977,1786.4
14.029,1752.04
14.08,1848
14.131,1724.8
14.182,1416.8
14.233,1232
14.285,1087.47
14.336,985.6
14.387,862.4
14.438,800.8
14.489,739.2
14.541,664.57
14.592,616
14.643,554.4
14.694,492.8
14.745,492.8
14.797,483.32
14.848,431.2
14.899,369.6
14.95,369.6
15.001,369.6
15.053,302.08
15.104,308
15.155,308
15.206,308
15.257,246.4
15.309,241.66
15.36,184.8
15.411,246.4
15.462,184.8
15.513,184.8
15.565,181.25
15.616,184.8
15.667,184.8
15.718,123.2
15.769,123.2
15.821,120.83
15.872,123.2
15.923,123.2
15.974,61.6
16.025,123.2
16.077,60.42
16.128,61.6
16.179,61.6
16.23,61.6
16.281,0
16.333,60.42
16.384,0
16.435,61.6
16.486,0
16.537,0
16.589,0
16.64,0
16.691,0
16.742,0
16.793,0
16.845,0
16.896,0
16.947,0
16.998,0
17.049,0
17.101,0
17.152,0
17.203,0
17.254,0
17.305,0
17.357,0
17.408,0
17.459,0
17.51,0
17.561,0
17.613,0
17.664,0
17.715,0
17.766,0
17.817,0
17.869,0
17.92,0
17.971,0
18.022,0
18.073,0
18.125,0
18.176,0
18.227,0
18.278,0
18.329,0
18.381,0
18.432,0
18.483,0
18.534,0
18.585,0
18.637,0
18.688,0
