time,omega
0,0
0.051,0
0.103,0
0.154,0
0.205,0
0.255999999999998,0
0.306999999999999,0
0.359,0
0.41,0
0.461,0
0.511999999999999,0
0.562999999999999,0
0.615,60.42
0.665999999999999,123.2
0.716999999999999,184.8
0.767999999999999,246.4
0.818999999999999,308
0.870999999999999,362.49
0.921999999999999,431.2
0.972999999999999,431.2
1.024,492.8
1.075,492.8
1.127,543.74
1.178,616
1.229,554.4
1.28,616
1.331,677.6
1.383,604.15
1.434,677.6
1.485,616
1.536,677.6
1.587,677.6
1.639,664.57
1.69,677.6
1.741,677.6
1.792,677.6
1.843,677.6
1.895,664.57
1.946,677.6
1.997,677.6
2.048,739.2
2.099,677.6
2.151,664.57
2.202,677.6
2.253,677.6
2.304,739.2
2.355,677.6
2.407,724.98
2.458,677.6
2.509,677.6
2.56,739.2
2.611,677.6
2.663,724.98
2.714,677.6
2.765,739.2
2.816,677.6
2.867,739.2
2.919,664.57
2.97,677.6
3.021,677.6
3.072,677.6
3.123,739.2
3.175,664.57
3.226,739.2
3.277,677.6
3.328,677.6
3.379,677.6
3.431,664.57
3.482,739.2
3.533,739.2
3.584,739.2
3.635,677.6
3.687,664.57
3.738,739.2
3.789,677.6
3.84,677.6
3.891,677.6
3.943,664.57
3.994,739.2
4.045,677.6
4.096,677.6
4.147,739.2
4.199,664.57
4.25,677.6
4.301,739.2
4.352,677.6
4.403,677.6
4.455,724.98
4.506,677.6
4.557,677.6
4.608,739.2
4.659,677.6
4.711,664.57
4.762,677.6
4.813,677.6
4.864,677.6
4.915,677.6
4.967,724.98
5.018,677.6
5.069,677.6
5.12,739.2
5.171,677.6
5.223,664.57
5.274,739.2
5.325,677.6
5.376,677.6
5.427,739.2
5.479,664.57
5.53,677.6
5.581,739.2
5.632,1355.2
5.683,1909.6
5.735,2114.53
5.786,2279.19
5.837,2340.79
5.888,2340.79
5.939,2340.79
5.991,2295.78
6.042,2340.79
6.093,2340.79
6.144,2340.79
6.195,2340.79
6.247,2295.78
6.298,2340.79
6.349,2340.79
6.4,2340.79
6.451,2340.79
6.503,2295.78
6.554,2340.79
6.605,2340.79
6.656,2340.79
6.707,2340.79
6.759,2295.78
6.81,2340.79
6.861,2340.79
6.912,2340.79
6.963,2340.79
7.015,2295.78
7.066,2340.79
7.117,2340.79
7.168,2340.79
7.219,2402.39
7.271,2295.78
7.322,2402.39
7.373,2340.79
7.424,2340.79
7.475,2402.39
7.527,2356.19
7.578,2340.79
7.629,2402.39
7.68,2340.79
7.731,2402.39
7.783,2295.78
7.834,2402.39
7.885,2340.79
7.936,2402.39
7.987,2340.79
8.039,2295.78
8.09,2340.79
8.141,2340.79
8.192,2340.79
8.243,2340.79
8.295,2295.78
8.346,2340.79
8.397,2340.79
8.448,2340.79
8.499,2340.79
8.551,2295.78
8.602,2340.79
8.653,2340.79
8.704,2340.79
8.755,2340.79
8.807,2295.78
8.858,2340.79
8.909,2340.79
8.96,2340.79
9.011,2340.79
9.063,2295.78
9.114,2340.79
9.165,2340.79
9.216,2340.79
9.267,2340.79
9.319,2295.78
9.37,2340.79
9.421,2340.79
9.472,2340.79
9.523,2340.79
9.575,2356.19
9.626,2340.79
9.677,2340.79
9.728,2340.79
9.779,2340.79
9.831,2356.19
9.882,2340.79
9.933,2340.79
9.984,2402.39
10.035,2402.39
10.087,2295.78
10.138,2340.79
10.189,2402.39
10.24,2340.79
10.291,2340.79
10.343,2356.19
10.394,2402.39
10.445,2340.79
10.496,2402.39
10.547,2340.79
10.599,2235.36
10.65,1848
10.701,1540
10.752,1293.6
10.803,1108.8
10.855,1027.06
10.906,862.4
10.957,800.8
11.008,800.8
11.059,677.6
11.111,604.15
11.162,616
11.213,492.8
11.264,492.8
11.315,431.2
11.367,422.91
11.418,431.2
11.469,369.6
11.52,369.6
11.571,308
11.623,302.08
11.674,246.4
11.725,308
11.776,246.4
11.827,246.4
11.879,241.66
11.93,246.4
11.981,184.8
12.032,246.4
12.083,184.8
12.135,120.83
12.186,184.8
12.237,184.8
12.288,123.2
12.339,123.2
12.391,120.83
12.442,123.2
12.493,123.2
12.544,61.6
12.595,123.2
12.647,60.42
12.698,61.6
12.749,61.6
12.8,61.6
12.851,0
12.903,60.42
12.954,0
13.005,61.6
13.056,0
13.107,0
13.159,0
13.21,0
13.261,0
13.312,0
13.363,0
13.415,0
13.466,0
13.517,0
13.568,0
13.619,0
13.671,0
13.722,0
13.773,0
13.824,0
13.875,0
13.927,0
13.978,0
14.029,0
14.08,0
14.131,0
14.183,0
14.234,0
14.285,0
14.336,0
14.387,0
14.439,0
14.49,0
14.541,0
14.592,0
14.643,0
14.695,0
14.746,0
14.797,0
14.848,0
14.899,0
14.951,0
15.002,0
15.053,0
15.104,0
15.155,0
15.207,0
15.258,0
15.309,0
15.36,0
15.411,0
15.463,0
15.514,0
15.565,0
15.616,0
15.667,0
15.719,0
15.77,0
