t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
2.261,-6.292883253240934e-05,3.805610156434375e-05,0.029959592615535043,0.9999998142739144,-0.00027425161945282534,-0.0005126055759090396,-0.0001829582183239044,2.6606761366837056e-06,-9.86528969054462e-06,-9.95554721304423e-06,0.0003925482444646177,-7.641190459027805e-05,-0.00031264275968330825
2.265,-6.29289530320005e-05,3.80219783457316e-05,0.029959557877389863,0.999999814210565,-0.0002734778681821669,-0.0005129445219227983,-0.0001835118750689671,-7.767932161273848e-07,-7.995513353488259e-06,-9.059724443356274e-06,0.00038099956300971093,-0.00017832223075050032,-0.00024726228699596616
2.27,-6.292972533671927e-05,3.7980880202594295e-05,0.029959504584769647,0.9999998142804868,-0.0002725519414562209,-0.0005131493612126505,-0.00018393521777715035,3.856011450093404e-07,-8.692350078147602e-06,-1.1379717160961687e-05,0.00036854478650113885,-7.346128808328217e-06,-0.00011353934559929465
2.274,-6.2931728603465e-05,3.794330739949306e-05,0.02995946284963102,0.9999998144999077,-0.0002717825467680845,-0.0005130973560240195,-0.0001840258149924268,-6.429112780133668e-07,-9.812754083036303e-06,-1.0598127838511384e-05,0.0003915388638266092,5.7973831312095356e-05,-7.437862223544536e-06
2.279,-6.293961402324002e-05,3.789127418750475e-05,0.029959413378713575,0.9999998149002223,-0.0002707664041704136,-0.0005128975220286927,-0.00018390543121796454,-2.405675015833351e-06,-1.0646940569120052e-05,-9.33531741898712e-06,0.0004155113834088246,8.039610787061144e-05,7.84449772006203e-05
2.283,-6.294834605862747e-05,3.7848207335461185e-05,0.029959372430769727,0.9999998152787215,-0.0002699407477882542,-0.0005126679624034143,-0.0001837010506816413,-7.196189677705683e-07,-1.0921713972814097e-05,-1.1918143245154208e-05,0.0004003708912162006,0.00017999164530691812,0.00011527546888895998
2.2880000000000003,-6.293478554598215e-05,3.779365986264485e-05,0.029959299349254495,0.9999998160187655,-0.00026898960943481595,-0.0005118667018806813,-0.000183301677358443,5.166946337738192e-06,-1.081964191200156e-05,-1.6679460928128026e-05,0.00037277334924733273,0.0004210684202159173,0.00019175203149597952
2.292,-6.289911599775484e-05,3.774987191374358e-05,0.029959221056028322,0.9999998168624308,-0.0002682349528495612,-0.0005107605822139808,-0.00018288997375758446,1.1242861050620527e-05,-1.1138197405155911e-05,-2.1140823533173798e-05,0.0003835584044989755,0.0006271067179035334,0.00020167601226564108
2.297,-6.282527343986576e-05,3.7690331713174134e-05,0.029959110508616788,0.9999998180809221,-0.0002672188345067594,-0.0005090126803324061,-0.0001825878099333693,1.6246735172477715e-05,-1.247533631849549e-05,-2.168493767627705e-05,0.0004233580760507455,0.0007058460472260037,3.9931913576995156e-05
2.301,-6.276390188324762e-05,3.763828190296446e-05,0.02995903475905185,0.9999998189044877,-0.00026634367301955675,-0.0005077759950528679,-0.0001827992850199282,1.4023559848356877e-05,-1.323795353186014e-05,-1.6885342438298216e-05,0.0004421873811242012,0.0005456277181910778,-0.00019906082326131048
2.305,-6.27225302442353e-05,3.758555574585291e-05,0.029958979842629074,0.9999998193757854,-0.0002654686120303071,-0.0005070565765362695,-0.00018348961990848978,8.061919830695503e-06,-1.2991489037951927e-05,-1.2187467153296148e-05,0.0004324737924041557,0.00023175599684038895,-0.0004225321730607103
2.309,-6.270178955880856e-05,3.753669830856856e-05,0.029958937327413473,0.9999998194491234,-0.00026465157567230613,-0.000506981732675403,-0.00018447435281153434,3.958254556976297e-06,-1.1656506386321597e-05,-1.0017926291539151e-05,0.0003896286398800816,-5.836714405345042e-05,-0.0005116473840510455
2.313,-6.268836464609817e-05,3.749385596189982e-05,0.029958897508650332,0.9999998193366989,-0.0002639500566794336,-0.0005072290919855382,-0.00018540654087054458,2.490748958225479e-06,-1.0153937754498995e-05,-9.190838830726148e-06,0.0003348726031374645,-0.00016251732016006804,-0.00041790622189474716
2.318,-6.268505738032207e-05,3.744637704102297e-05,0.029958852133463217,0.9999998192127937,-0.00026315199589879045,-0.0005076288909056441,-0.00018611371846745736,2.6978153388315035e-07,-9.41680404866237e-06,-9.803486462340971e-06,0.00030742591667573066,-0.00010876142974800873,-0.00018722377843198546
2.322,-6.26849667441019e-05,3.7407323173614385e-05,0.029958812061879985,0.9999998193284577,-0.00026254847605378,-0.0005076625422696098,-0.00018625276695679587,-6.138838864536624e-07,-9.96857711039847e-06,-9.417601341969173e-06,0.00030462398805265506,2.047226474031874e-05,-2.149078687682576e-06
2.328,-6.269899883327315e-05,3.734726088896485e-05,0.029958761649702532,0.9999998197636696,-0.0002615991558172787,-0.0005074285080893287,-0.0001858892661681612,-3.5098277491962326e-06,-9.81415132365787e-06,-7.843449051065627e-06,0.00032667385209022263,0.00010256212967856307,0.0001912453477685358
2.332,-6.271236005262028e-05,3.7309270235140497e-05,0.029958728336326686,0.9999998201562754,-0.00026093596356790614,-0.0005071563207704078,-0.00018545162758470181,-3.4120577968861076e-06,-9.271258170997474e-06,-8.113914873896343e-06,0.00033524076684489184,0.00014234300751023575,0.00022628967353543444
2.337,-6.27268655815421e-05,3.726586033811369e-05,0.02995868654580549,0.9999998206758469,-0.00026009963646206195,-0.0005067515543289416,-0.0001849305686701062,-9.909256227504825e-07,-8.434097302599123e-06,-9.961103732258794e-06,0.0003228326514019799,0.0002214958043388201,0.000186760583438387
2.34,-6.272329924162982e-05,3.724144816594579e-05,0.029958653693336727,0.9999998210564595,-0.00025963545998049887,-0.0005063312256330095,-0.0001846758425357463,2.1823168872925684e-06,-7.927475971223844e-06,-1.1425811474051376e-05,0.0003039082877512098,0.00030746941519524564,0.00016425896999955656
2.345,-6.269646610666509e-05,3.72054500649115e-05,0.029958584965028005,0.9999998218355313,-0.0002588960916319734,-0.0005053116665003926,-0.00018428738186547294,7.757990528043655e-06,-6.808125769588773e-06,-1.560712373365801e-05,0.0002935452094358557,0.0004848506726961527,0.00014661303063447253
2.35,-6.263727380527426e-05,3.717142925528534e-05,0.02995849458149979,0.9999998228290389,-0.0002581502150061854,-0.0005038142778365953,-0.00018404219906902885,1.4438413960095186e-05,-6.999713566163132e-06,-1.9240712618131373e-05,0.0003035683216217775,0.0006611370044764435,4.884898733958672e-05
2.354,-6.257158743198963e-05,3.7141379633347466e-05,0.029958418769850403,0.9999998236497183,-0.00025752949420491017,-0.0005024628638238816,-0.00018414712260115797,1.707801552499604e-05,-7.841254268131495e-06,-1.824845137329413e-05,0.00031366536508258187,0.0006629594701323959,-0.00012258135928229407
2.358,-6.250746891043953e-05,3.7108224456778086e-05,0.02995835641178502,0.9999998242925932,-0.00025691003279743936,-0.0005013110732251565,-0.00018465975718797077,1.4751246421776457e-05,-8.495529290533193e-06,-1.3689674988395017e-05,0.000303769103527851,0.0005081469395698081,-0.00033716919878858977
2.362,-6.246168679197163e-05,3.707408391211222e-05,0.029958313147903908,0.9999998246096499,-0.0002563406171060907,-0.0005006368391036933,-0.00018556107582487857,9.401415810926381e-06,-8.439534998382794e-06,-9.36449091000982e-06,0.0002719998858377087,0.00022003819067378498,-0.0005066991943610458
2.366,-6.243487099640042e-05,3.7042473179096744e-05,0.029958282307648368,0.9999998245683461,-0.000255861086942938,-0.0005005626179203344,-0.00018664256417627107,5.456856871096524e-06,-7.495020092282142e-06,-6.980874968836995e-06,0.00021761357388389287,-5.7232280951085405e-05,-0.0005397710236495232
