vz_d,vx_d,trial_num,landing_rate,RREV_trigger,G1,RREV_sig,G1_sig,My_d,impact_eul,alpha_mu,alpha_sigma,mu_ini,sigma_ini
3.0,0.0,6,0.2916666666666667,4.29,4.51,0.0,0.01,-4.4995714285714286,-20.50093531977974,[0. 0.],[0. 0.],[1.78 5.56],[1.5 1.5]
3.0,0.0,4,0.8260869565217391,4.28,6.42,0.01,0.01,-6.420263157894737,-72.4029124602805,[0. 0.],[0. 0.],[4.87 4.61],[1.5 1.5]
3.0,0.0,3,0.7083333333333334,4.45,6.82,0.01,0.01,-6.825647058823529,-101.03299351802724,[0. 0.],[0. 0.],[6.74 2.38],[1.5 1.5]
3.0,0.0,7,0.2608695652173913,4.33,4.09,0.01,0.0,-4.089833333333333,-27.03114391567261,[0. 0.],[0. 0.],[6.77 3.26],[1.5 1.5]
3.0,0.0,1,0.6521739130434783,4.29,7.58,0.0,0.01,-7.5722,-37.20820776621155,[0. 0.],[0. 0.],[3.73 1.54],[1.5 1.5]
3.0,0.0,1,0.4166666666666667,4.5,6.78,0.0,0.02,-6.7757000000000005,-126.70756013047131,[0. 0.],[0. 0.],[4.24 4.91],[1.5 1.5]
3.0,0.0,4,0.75,4.63,2.77,0.02,0.0,-1.058,-80.92346558751044,[0. 0.],[0. 0.],[1.7  3.09],[1.5 1.5]
3.0,0.0,2,0.625,4.53,7.03,0.0,0.01,-7.0116000000000005,-128.08566201820523,[0. 0.],[0. 0.],[3.16 6.97],[1.5 1.5]
3.0,0.0,8,0.5652173913043478,4.65,7.51,0.01,0.0,-7.509846153846154,-105.68994812694193,[0. 0.],[0. 0.],[1.25 5.38],[1.5 1.5]
3.0,0.0,5,0.6666666666666666,4.31,5.36,0.0,0.01,-5.3616875,-103.39047663901343,[0. 0.],[0. 0.],[1.79 5.69],[1.5 1.5]
3.0,0.0,2,0.25,3.94,6.61,0.0,0.04,-6.6195,-70.83618013703945,[0. 0.],[0. 0.],[4.53 5.71],[1.5 1.5]
3.0,0.0,8,0.4782608695652174,4.67,8.07,0.0,0.19,-8.087363636363635,-113.95339407262078,[0. 0.],[0. 0.],[2.78 1.02],[1.5 1.5]
