vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.0,10.19,0.72,1.06,0.0,,,,,,[0. 0.],[0. 0.],[6.74 1.78],[1.5 1.5]
1.5,0.0,1,0.3478260934352875,4.54,7.66,0.01,0.02,4.963875,0.0,-7.669125,-114.0341866034606,0.1775000000000002,[0. 0.],[0. 0.],[1.66 6.23],[1.5 1.5]
1.5,0.0,2,0.44999998807907104,5.11,3.18,0.01,0.12,5.523555555555555,-0.00011111111111111112,-3.1647777777777777,-104.48905580731751,0.22955555555556778,[0. 0.],[0. 0.],[5.08 2.8 ],[1.5 1.5]
1.5,0.0,3,0.5833333134651184,4.3,9.24,0.0,0.2,4.816142857142856,-7.142857142857143e-05,-9.393928571428573,-116.85092050338316,0.18742857142857078,[0. 0.],[0. 0.],[2.11 1.95],[1.5 1.5]
1.5,0.0,4,0.6086956262588501,4.96,3.95,0.03,0.04,5.414428571428571,0.0,-3.9317857142857138,-100.10369295812413,0.21257142857142597,[0. 0.],[0. 0.],[5.26 2.53],[1.5 1.5]
1.5,0.0,5,0.5416666865348816,4.86,5.71,0.01,0.34,5.208615384615385,0.0,-5.592153846153845,-108.34655278270245,0.18692307692307525,[0. 0.],[0. 0.],[7.   3.32],[1.5 1.5]
1.5,0.25,0,0.4583333432674408,4.86,3.69,0.0,0.02,5.473545454545455,-0.7972727272727274,-3.708727272727272,-102.44876023693752,0.21381818181820025,[0. 0.],[0. 0.],[2.55 2.28],[1.5 1.5]
1.5,0.25,1,0.4583333432674408,4.69,5.62,0.0,0.0,5.1774545454545455,-0.7541818181818182,-5.622999999999999,-106.27354432914339,0.18000000000000166,[0. 0.],[0. 0.],[4.51 2.12],[1.5 1.5]
1.5,0.25,2,0.0,6.23,0.32,0.01,0.01,,,,,,[0. 0.],[0. 0.],[3.84 1.32],[1.5 1.5]
1.5,0.25,3,0.5,4.79,8.6,0.02,0.0,5.063,-0.7374166666666667,-8.601333333333335,-111.88301196387938,0.1700000000000029,[0. 0.],[0. 0.],[1.18 5.95],[1.5 1.5]
1.5,0.25,4,0.25,4.42,9.2,0.01,0.14,4.948499999999999,-0.7208333333333333,-9.286666666666667,-119.44886199593968,0.17866666666668607,[0. 0.],[0. 0.],[5.43 6.97],[1.5 1.5]
1.5,0.25,5,0.375,4.51,6.11,0.03,0.19,5.047888888888888,-0.7352222222222222,-6.1835555555555555,-104.48838997869562,0.1773333333333211,[0. 0.],[0. 0.],[6.09 3.09],[1.5 1.5]
1.5,0.5,0,0.3913043439388275,4.99,8.6,0.0,2.28,5.324111111111112,-1.5506666666666669,-7.248555555555555,-105.21009104802583,0.17466666666664418,[0. 0.],[0. 0.],[5.68 5.06],[1.5 1.5]
1.5,0.5,1,0.3571428656578064,4.83,3.33,0.0,0.01,5.3762,-1.5655999999999999,-3.3274,-105.80886118979026,0.22920000000000867,[0. 0.],[0. 0.],[4.42 2.91],[1.5 1.5]
1.5,0.5,2,0.625,4.81,7.63,0.03,0.04,5.2636666666666665,-1.5329333333333333,-7.662266666666667,-108.43052852591761,0.1603999999999985,[0. 0.],[0. 0.],[2.68 2.58],[1.5 1.5]
1.5,0.5,3,0.0,10.13,0.28,0.03,0.0,,,,,,[0. 0.],[0. 0.],[6.13 1.18],[1.5 1.5]
1.5,0.5,4,0.5,4.87,4.79,0.0,0.0,5.432181818181818,-1.5820909090909092,-4.7873636363636365,-100.22828113259185,0.1965454545454551,[0. 0.],[0. 0.],[6.83 4.03],[1.5 1.5]
1.5,0.5,5,0.52173912525177,4.56,5.37,0.0,0.0,5.207833333333334,-1.51675,-5.366666666666668,-106.086607564048,0.19333333333331382,[0. 0.],[0. 0.],[3.85 4.9 ],[1.5 1.5]
1.5,0.75,0,0.6666666865348816,4.79,5.36,0.0,0.02,5.2166250000000005,-2.2790625,-5.3626249999999995,-116.89198019579466,0.1946250000000016,[0. 0.],[0. 0.],[2.13 3.31],[1.5 1.5]
1.5,0.75,1,0.782608687877655,5.0,4.42,0.0,0.0,5.388944444444444,-2.3542777777777775,-4.414833333333333,-108.99857482080957,0.19977777777777878,[0. 0.],[0. 0.],[5.43 2.57],[1.5 1.5]
1.5,0.75,2,0.695652186870575,4.76,5.28,0.01,0.06,5.2943125,-2.3127500000000003,-5.30775,-119.3039200690329,0.19599999999999929,[0. 0.],[0. 0.],[1.57 5.93],[1.5 1.5]
1.5,0.75,3,0.875,4.75,4.5,0.02,0.0,5.225333333333333,-2.2827619047619043,-4.503142857142858,-98.3906213833254,0.2079047619047651,[0. 0.],[0. 0.],[6.07 4.03],[1.5 1.5]
1.5,0.75,4,0.625,4.83,5.22,0.01,0.03,5.3281333333333345,-2.3275333333333332,-5.2094,-110.16096396855353,0.18706666666666838,[0. 0.],[0. 0.],[6.02 3.89],[1.5 1.5]
1.5,0.75,5,0.3333333432674408,5.05,5.03,0.0,0.0,5.705428571428571,-2.4925714285714284,-5.032285714285715,-105.5590652089164,0.1745714285714257,[0. 0.],[0. 0.],[4.65 4.72],[1.5 1.5]
1.5,1.0,0,0.375,5.02,6.9,0.0,0.05,5.572666666666667,-3.246555555555555,-6.903555555555556,-101.55792142248404,0.16111111111112247,[0. 0.],[0. 0.],[2.   3.94],[1.5 1.5]
1.5,1.0,1,0.761904776096344,4.83,5.71,0.01,0.11,5.280625000000001,-3.0757499999999998,-5.832000000000001,-116.56160833645822,0.18499999999999517,[0. 0.],[0. 0.],[6.72 5.38],[1.5 1.5]
1.5,1.0,2,0.9130434989929199,5.0,5.19,0.07,0.02,5.488761904761906,-3.1969047619047624,-5.190285714285714,-115.03508539143206,0.18866666666666884,[0. 0.],[0. 0.],[3.6  5.38],[1.5 1.5]
1.5,1.0,3,0.8571428656578064,4.75,5.53,0.0,0.01,5.176111111111111,-3.0151666666666666,-5.5264444444444445,-102.89866346290393,0.1937777777777809,[0. 0.],[0. 0.],[4.84 5.97],[1.5 1.5]
1.5,1.0,4,0.0,6.24,2.28,0.01,0.01,,,,,,[0. 0.],[0. 0.],[6.95 2.79],[1.5 1.5]
1.5,1.0,5,1.0,4.79,3.59,0.01,0.09,5.640076923076924,-3.285076923076922,-3.5993846153846154,-98.12095824263295,0.20984615384619387,[0. 0.],[0. 0.],[5.28 2.29],[1.5 1.5]
1.5,1.25,0,0.46666666865348816,5.5,2.62,0.05,0.02,5.772999999999999,-4.203142857142857,-2.607428571428571,-104.85065869651547,0.23914285714283778,[0. 0.],[0. 0.],[1.81 3.55],[1.5 1.5]
1.5,1.25,1,0.782608687877655,4.99,9.44,0.0,0.01,5.371833333333333,-3.9113333333333333,-9.442833333333333,-123.46238513247823,0.16311111111111545,[0. 0.],[0. 0.],[6.24 6.69],[1.5 1.5]
1.5,1.25,2,0.8421052694320679,4.83,5.41,0.01,0.05,5.4031875,-3.9338749999999996,-5.4395625,-89.27765367806715,0.17987499999997425,[0. 0.],[0. 0.],[3.38 4.58],[1.5 1.5]
1.5,1.25,3,0.5714285969734192,5.13,4.62,0.03,0.0,5.539249999999999,-4.033083333333334,-4.618000000000001,-103.32590429445817,0.1941666666666606,[0. 0.],[0. 0.],[2.17 4.02],[1.5 1.5]
1.5,1.25,4,0.0,4.51,0.41,0.0,0.0,,,,,,[0. 0.],[0. 0.],[3.35 1.22],[1.5 1.5]
1.5,1.25,5,0.6190476417541504,5.4,3.61,0.0,0.01,5.613076923076923,-4.087000000000001,-3.608076923076923,-103.10074237487348,0.21015384615382643,[0. 0.],[0. 0.],[2.81 3.88],[1.5 1.5]
1.5,1.5,0,1.0,4.72,5.45,0.01,0.01,5.257999999999999,-4.594,-5.447,-120.86719882437382,0.19133333333333427,[0. 0.],[0. 0.],[1.01 3.78],[1.5 1.5]
1.5,1.5,1,1.0,4.73,6.9,0.0,0.04,5.326,-4.6535,-6.886849999999998,-117.58238057740157,0.17190000000001646,[0. 0.],[0. 0.],[4.78 6.71],[1.5 1.5]
1.5,1.5,2,0.7083333134651184,4.97,5.86,0.01,0.0,5.495764705882353,-4.801705882352941,-5.859470588235294,-114.76820334350695,0.17811764705880465,[0. 0.],[0. 0.],[1.08 6.46],[1.5 1.5]
1.5,1.5,3,0.7272727489471436,5.06,4.92,0.0,0.0,5.6309375,-4.9195625,-4.9185,-105.07538449810755,0.18499999999999872,[0. 0.],[0. 0.],[2.25 5.66],[1.5 1.5]
1.5,1.5,4,0.8695651888847351,5.0,8.52,0.01,0.01,5.52345,-4.8256499999999996,-8.525649999999999,-120.25089048127047,0.16590000000001054,[0. 0.],[0. 0.],[5.17 2.22],[1.5 1.5]
1.5,1.5,5,0.9473684430122375,4.77,9.12,0.0,0.0,5.296666666666666,-4.627666666666666,-9.126222222222221,-126.47521617808346,0.17111111111111338,[0. 0.],[0. 0.],[4.82 1.63],[1.5 1.5]
1.5,1.75,0,0.9166666865348816,4.99,14.39,0.0,2.44,5.444136363636363,-5.549363636363637,-13.837727272727271,-121.78316438491635,0.1649090909091032,[0. 0.],[0. 0.],[1.01 5.72],[1.5 1.5]
1.5,1.75,1,0.8888888955116272,4.72,6.84,0.01,0.02,5.21425,-5.3151875,-6.8478125,-126.03875848439746,0.1810000000000258,[0. 0.],[0. 0.],[1.44 5.74],[1.5 1.5]
1.5,1.75,2,0.8421052694320679,5.01,3.3,0.02,0.01,5.5046875,-5.6109375,-3.2973125,-114.99664896222421,0.23337500000000233,[0. 0.],[0. 0.],[6.84 2.7 ],[1.5 1.5]
1.5,1.75,3,0.6190476417541504,5.45,3.29,0.01,0.0,5.620230769230769,-5.728923076923078,-3.2899999999999996,-108.60244020814199,0.2279999999999999,[0. 0.],[0. 0.],[4.1  2.98],[1.5 1.5]
1.5,1.75,4,0.4166666567325592,5.5,9.41,0.0,0.15,5.7739,-5.885500000000001,-9.420100000000001,-110.8657984073678,0.1549999999999841,[0. 0.],[0. 0.],[6.95 6.75],[1.5 1.5]
1.5,1.75,5,0.0,6.32,0.28,0.06,0.0,,,,,,[0. 0.],[0. 0.],[2.23 2.67],[1.5 1.5]
1.5,2.0,0,0.8260869383811951,4.9,16.74,0.01,1.45,5.4441578947368425,-6.342105263157895,-16.40926315789474,-120.85565276890024,0.16410526315789148,[0. 0.],[0. 0.],[3.9  6.86],[1.5 1.5]
1.5,2.0,1,0.8947368264198303,4.75,6.38,0.0,0.01,5.08935294117647,-5.929235294117647,-6.387411764705881,-129.02761995313233,0.18705882352942219,[0. 0.],[0. 0.],[5.76 2.47],[1.5 1.5]
1.5,2.0,2,0.5555555820465088,5.09,3.86,0.02,0.63,5.6328000000000005,-6.5618,-3.7628,-107.24524321654863,0.2060000000000059,[0. 0.],[0. 0.],[6.76 1.99],[1.5 1.5]
1.5,2.0,3,0.7727272510528564,4.95,5.79,0.02,0.0,5.559882352941177,-6.477176470588236,-5.7916470588235285,-106.92491529918044,0.1803529411764858,[0. 0.],[0. 0.],[1.26 4.64],[1.5 1.5]
1.5,2.0,4,0.625,5.34,9.84,0.01,0.07,5.596400000000001,-6.519466666666667,-9.991466666666668,-116.38959203844033,0.1587999999999975,[0. 0.],[0. 0.],[4.14 2.23],[1.5 1.5]
1.5,2.0,5,0.7727272510528564,5.0,4.45,0.0,0.01,5.473823529411765,-6.376529411764706,-4.450470588235294,-119.03659445851252,0.2001176470588354,[0. 0.],[0. 0.],[2.08 3.44],[1.5 1.5]
1.5,2.25,0,0.625,5.31,7.78,0.01,0.04,5.665533333333333,-7.424800000000001,-7.749999999999998,-117.2459446428457,0.15599999999998695,[0. 0.],[0. 0.],[5.37 5.41],[1.5 1.5]
1.5,2.25,1,0.8695651888847351,4.81,6.29,0.0,0.03,5.40515,-7.0839,-6.303699999999999,-111.89661934175447,0.17489999999999667,[0. 0.],[0. 0.],[1.63 3.2 ],[1.5 1.5]
1.5,2.25,2,0.5833333134651184,5.06,5.62,0.0,0.01,5.423714285714285,-7.107857142857143,-5.625142857142857,-122.09895297427884,0.1890000000000295,[0. 0.],[0. 0.],[3.78 6.66],[1.5 1.5]
1.5,2.25,3,,5.23,1.35,0.0,0.0,,,,,,[0. 0.],[0. 0.],[1.26 1.47],[1.5 1.5]
1.5,2.25,4,0.8636363744735718,4.97,11.4,0.01,0.06,5.435789473684211,-7.123736842105265,-11.419315789473684,-117.91279470273984,0.1583157894736922,[0. 0.],[0. 0.],[2.51 4.65],[1.5 1.5]
1.5,2.25,5,0.8823529481887817,4.77,6.0,0.03,0.03,5.318200000000001,-6.969733333333334,-5.987066666666667,-115.70764345023682,0.18520000000003164,[0. 0.],[0. 0.],[5.72 5.11],[1.5 1.5]
1.5,2.5,0,0.4000000059604645,5.34,2.2,0.0,0.0,6.126,-8.9205,-2.2025,-84.4830474196032,0.24099999999999966,[0. 0.],[0. 0.],[2.48 2.29],[1.5 1.5]
1.5,2.5,1,0.949999988079071,4.78,6.04,0.0,0.0,5.314105263157896,-7.738315789473684,-6.041315789473684,-126.41726706745689,0.18568421052631087,[0. 0.],[0. 0.],[5.59 6.89],[1.5 1.5]
1.5,2.5,2,0.6111111044883728,4.85,4.85,0.21,0.24,5.286545454545455,-7.698545454545454,-4.827,-115.95565280259949,0.19472727272725684,[0. 0.],[0. 0.],[6.17 4.12],[1.5 1.5]
1.5,2.5,3,0.9545454382896423,4.74,6.35,0.0,0.01,5.258904761904763,-7.658142857142859,-6.35047619047619,-125.07336128138434,0.18190476190475888,[0. 0.],[0. 0.],[4.34 6.39],[1.5 1.5]
1.5,2.5,4,0.8571428656578064,4.84,4.21,0.01,0.01,5.443722222222223,-7.927222222222222,-4.208944444444445,-114.40748818121922,0.20844444444444812,[0. 0.],[0. 0.],[4.66 2.67],[1.5 1.5]
1.5,2.5,5,0.9583333134651184,4.91,6.3,0.03,0.03,5.44895652173913,-7.93486956521739,-6.292304347826088,-116.65503877454866,0.1782608695652184,[0. 0.],[0. 0.],[4.32 4.11],[1.5 1.5]
1.5,2.75,0,0.6521739363670349,5.06,4.39,0.0,0.0,5.404133333333334,-8.656466666666667,-4.385466666666667,-113.79551417808953,0.20320000000001529,[0. 0.],[0. 0.],[1.06 5.88],[1.5 1.5]
1.5,2.75,1,0.8181818127632141,4.86,7.19,0.0,0.1,5.407111111111111,-8.661444444444445,-7.2155555555555555,-122.91046547348563,0.1659999999999905,[0. 0.],[0. 0.],[4.69 6.01],[1.5 1.5]
1.5,2.75,2,0.0416666679084301,5.3,3.45,0.0,0.0,5.381,-8.619,-3.449,-91.09860114367463,0.2560000000000002,[0. 0.],[0. 0.],[6.64 3.39],[1.5 1.5]
1.5,2.75,3,0.0,4.59,3.24,0.03,0.06,,,,,,[0. 0.],[0. 0.],[6.03 3.69],[1.5 1.5]
1.5,2.75,4,0.8999999761581421,5.12,3.37,0.0,0.0,5.583555555555556,-8.944055555555556,-3.3744444444444444,-105.88603612838193,0.20988888888889315,[0. 0.],[0. 0.],[5.89 2.74],[1.5 1.5]
1.5,2.75,5,,3.63,7.09,0.01,0.0,,,,,,[0. 0.],[0. 0.],[2.62 3.79],[1.5 1.5]
1.75,0.0,0,0.0,6.03,0.42,1.7,0.21,,,,,,[0. 0.],[0. 0.],[3.36 1.13],[1.5 1.5]
1.75,0.0,1,0.52173912525177,4.55,6.88,0.0,0.0,4.963666666666666,0.0,-6.875250000000001,-133.8449083130877,0.18916666666666782,[0. 0.],[0. 0.],[5.19 4.67],[1.5 1.5]
