vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.0416666679084301,4.93,6.52,0.0,0.01,5.0360000000000005,0.0,-6.523,-169.49951854518443,0.20399999999999352,[0. 0.],[0. 0.],[6.8  6.14],[1.5 1.5]
1.5,0.0,1,0.1304347813129425,4.61,5.59,0.01,0.02,5.455333333333333,-0.0003333333333333333,-5.588,-91.71808680275429,0.17466666666662908,[0. 0.],[0. 0.],[1.72 5.98],[1.5 1.5]
1.5,0.0,2,,4.23,4.16,0.02,0.0,,,,,,[0. 0.],[0. 0.],[1.86 5.93],[1.5 1.5]
1.5,0.0,3,0.1666666716337204,4.93,5.08,0.0,0.04,5.5525,-0.00025,-5.0865,-98.98705550319896,0.1859999999999985,[0. 0.],[0. 0.],[6.92 6.17],[1.5 1.5]
1.5,0.0,4,0.30434781312942505,5.07,4.78,0.01,0.0,5.528571428571429,0.0,-4.777285714285715,-96.65708777259071,0.19685714285714898,[0. 0.],[0. 0.],[5.75 4.81],[1.5 1.5]
1.5,0.0,5,0.13636364042758942,5.05,5.58,0.01,0.0,5.677333333333333,0.0,-5.578333333333333,-99.80685327261347,0.1686666666666614,[0. 0.],[0. 0.],[5.28 3.2 ],[1.5 1.5]
1.5,0.25,0,0.0,3.83,0.37,0.0,0.02,,,,,,[0. 0.],[0. 0.],[2.93 1.76],[1.5 1.5]
1.5,0.25,1,0.0416666679084301,4.75,6.86,0.03,0.01,5.705,-0.831,-6.875,-98.19133765287212,0.17400000000003502,[0. 0.],[0. 0.],[6.26 6.5 ],[1.5 1.5]
1.5,0.25,2,0.0416666679084301,4.99,5.63,0.0,0.0,5.768,-0.84,-5.64,-89.54294372104161,0.16399999999999437,[0. 0.],[0. 0.],[5.53 3.34],[1.5 1.5]
1.5,0.25,3,0.0,3.99,5.99,0.0,0.0,,,,,,[0. 0.],[0. 0.],[2.88 4.08],[1.5 1.5]
1.5,0.25,4,0.17391304671764374,5.08,5.0,0.02,0.03,5.763,-0.8395,-5.023,-93.83702263477,0.16949999999999932,[0. 0.],[0. 0.],[1.92 3.39],[1.5 1.5]
1.5,0.25,5,0.11764705926179886,5.22,4.77,0.0,0.11,5.8375,-0.8505,-4.74,-90.4843793310327,0.17899999999999672,[0. 0.],[0. 0.],[1.73 6.66],[1.5 1.5]
1.5,0.5,0,0.0833333358168602,5.03,7.17,0.0,0.0,6.0495,-1.7615,-7.1659999999999995,-87.0746139777088,0.13999999999995794,[0. 0.],[0. 0.],[1.6  5.21],[1.5 1.5]
1.5,0.5,1,0.0,5.71,0.36,0.0,0.02,,,,,,[0. 0.],[0. 0.],[3.61 3.2 ],[1.5 1.5]
1.5,0.5,2,0.260869562625885,4.57,7.01,0.0,0.33,4.953166666666666,-1.4426666666666665,-6.937166666666666,-118.29183952310898,0.2080000000000055,[0. 0.],[0. 0.],[2.68 4.96],[1.5 1.5]
1.5,0.5,3,0.23529411852359772,5.33,2.9,0.0,0.0,5.765750000000001,-1.6789999999999998,-2.9010000000000002,-91.46626612775829,0.21350000000001046,[0. 0.],[0. 0.],[5.53 3.22],[1.5 1.5]
1.5,0.5,4,0.0833333358168602,4.74,5.53,0.1,0.01,5.2195,-1.52,-5.5295000000000005,-117.59991932416989,0.19400000000000261,[0. 0.],[0. 0.],[5.34 2.25],[1.5 1.5]
1.5,0.5,5,0.125,4.86,5.44,0.0,0.03,5.746666666666667,-1.6740000000000002,-5.424333333333333,-93.22503077890558,0.1713333333333177,[0. 0.],[0. 0.],[5.28 4.28],[1.5 1.5]
1.5,0.75,0,0.7142857313156128,4.71,3.71,0.0,0.02,5.454400000000001,-2.3828000000000005,-3.7225,-108.24777175202576,0.22080000000000838,[0. 0.],[0. 0.],[2.14 1.47],[1.5 1.5]
1.5,0.75,1,0.0,13.05,0.44,0.95,0.01,,,,,,[0. 0.],[0. 0.],[6.45 3.19],[1.5 1.5]
1.5,0.75,2,0.5714285969734192,5.32,3.3,0.01,0.0,5.62575,-2.45775,-3.3,-99.66925304651241,0.20900000000000674,[0. 0.],[0. 0.],[4.35 1.58],[1.5 1.5]
1.5,0.75,3,0.3636363744735718,4.52,6.59,0.0,0.01,4.9556249999999995,-2.1647499999999997,-6.589499999999999,-157.3396138805195,0.20375000000000654,[0. 0.],[0. 0.],[6.83 6.84],[1.5 1.5]
1.5,0.75,4,0.125,5.24,7.45,0.0,0.0,5.6655,-2.475,-7.4505,-94.7101895284458,0.14999999999999147,[0. 0.],[0. 0.],[4.72 5.54],[1.5 1.5]
1.5,0.75,5,0.5555555820465088,4.6,3.71,0.0,0.0,5.1456,-2.248,-3.7078,-115.89114818931394,0.23119999999999336,[0. 0.],[0. 0.],[6.46 6.53],[1.5 1.5]
1.5,1.0,0,0.9047619104385376,4.46,9.88,0.0,0.04,4.8395789473684205,-2.8191052631578954,-9.879842105263156,-85.74696775638029,0.19000000000000108,[0. 0.],[0. 0.],[1.38 6.47],[1.5 1.5]
1.5,1.0,2,0.7083333134651184,4.83,8.71,0.02,0.03,5.072882352941176,-2.9548823529411763,-8.706470588235293,-106.9568459599444,0.1836470588235294,[0. 0.],[0. 0.],[3.32 3.14],[1.5 1.5]
1.5,1.0,3,0.8095238208770752,4.88,6.5,0.01,0.0,5.322,-3.100058823529412,-6.497000000000001,-114.7936911719695,0.17929411764705955,[0. 0.],[0. 0.],[4.6  2.75],[1.5 1.5]
1.5,1.0,4,0.699999988079071,4.22,8.38,0.0,0.0,4.756,-2.7701428571428575,-8.38014285714286,-124.51934856450431,0.20514285714285282,[0. 0.],[0. 0.],[2.01 4.42],[1.5 1.5]
1.5,1.0,5,0.52173912525177,4.71,10.65,0.02,0.16,5.058666666666667,-2.9466666666666668,-10.679083333333336,-90.72354628974426,0.18016666666666703,[0. 0.],[0. 0.],[2.63 6.43],[1.5 1.5]
1.5,1.25,0,0.4285714328289032,5.23,4.09,0.01,0.03,5.6482222222222225,-4.112333333333333,-4.102444444444445,-101.03389728071086,0.19711111111111268,[0. 0.],[0. 0.],[5.26 5.64],[1.5 1.5]
1.5,1.25,2,0.8999999761581421,4.71,6.49,0.01,0.35,5.209777777777778,-3.7933333333333334,-6.432222222222222,-108.01441686772765,0.18433333333333154,[0. 0.],[0. 0.],[5.58 5.11],[1.5 1.5]
1.5,1.25,3,,3.63,3.02,0.01,0.0,,,,,,[0. 0.],[0. 0.],[2.28 2.99],[1.5 1.5]
1.5,1.25,4,0.0,6.61,0.32,0.12,0.04,,,,,,[0. 0.],[0. 0.],[1.1  1.16],[1.5 1.5]
1.5,1.25,5,0.7368420958518982,4.86,4.74,0.0,0.07,5.381214285714286,-3.9179999999999997,-4.691,-104.07315544026044,0.18985714285714092,[0. 0.],[0. 0.],[5.29 1.32],[1.5 1.5]
1.5,1.5,0,0.0,6.23,0.32,0.08,0.0,,,,,,[0. 0.],[0. 0.],[1.28 1.56],[1.5 1.5]
1.5,1.5,1,0.0,2.89,0.39,0.0,0.0,,,,,,[0. 0.],[0. 0.],[4.56 1.17],[1.5 1.5]
1.5,1.5,2,0.5789473652839661,5.05,4.04,0.08,0.0,5.531545454545454,-4.833363636363637,-4.03609090909091,-106.20236319573974,0.20290909090908957,[0. 0.],[0. 0.],[4.39 5.17],[1.5 1.5]
1.5,1.5,3,0.5,5.18,4.66,0.06,0.01,5.59,-4.88425,-4.658666666666666,-101.0878602466653,0.19233333333333322,[0. 0.],[0. 0.],[3.29 3.53],[1.5 1.5]
1.5,1.5,4,0.3636363744735718,5.5,5.41,0.0,0.0,5.693125,-4.974125,-5.4110000000000005,-99.0819505818224,0.17174999999999951,[0. 0.],[0. 0.],[3.31 5.01],[1.5 1.5]
1.5,1.5,5,0.7727272510528564,4.83,6.24,0.0,0.0,5.276411764705882,-4.610058823529412,-6.238823529411765,-116.69268584568162,0.18423529411764736,[0. 0.],[0. 0.],[5.98 6.45],[1.5 1.5]
