vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,G2,RREV_sig,G1_sig,G2_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.0,4.62,5.48,3.43,0.1,0.01,0.05,,,,,,[0. 0.],[0. 0.],[1.01 4.57 4.4 ],[2. 2. 2.]
1.5,0.0,1,0.20000000298023224,4.41,8.85,8.05,0.0,0.0,0.0,4.9094999999999995,0.0005,-8.848749999999999,-132.57070965983266,0.22299999999999187,[0. 0.],[0. 0.],[1.52 5.56 3.75],[2. 2. 2.]
1.5,0.0,2,0.25,4.45,7.91,2.99,0.02,0.01,0.07,4.957833333333333,0.0,-7.913,-141.3871579431388,0.1898333333333492,[0. 0.],[0. 0.],[6.34 5.57 1.89],[2. 2. 2.]
1.5,0.0,3,0.3571428656578064,5.17,3.84,5.44,0.05,0.0,0.04,5.6548,-0.0002,-3.84,-91.95989847931412,0.2146000000000015,[0. 0.],[0. 0.],[6.18 5.69 4.51],[2. 2. 2.]
1.5,0.0,4,0.09090909361839294,4.55,5.68,3.69,0.01,0.0,0.0,5.5015,0.0,-5.678,-99.04425787145695,0.19649999999998968,[0. 0.],[0. 0.],[4.64 4.36 2.1 ],[2. 2. 2.]
1.5,0.0,5,0.0,4.09,5.97,3.42,0.16,1.53,0.0,,,,,,[0. 0.],[0. 0.],[5.9  6.42 3.16],[2. 2. 2.]
1.5,0.25,0,0.095238097012043,4.13,6.97,6.18,0.02,0.14,0.0,4.7805,-0.696,-7.131,-168.9086760010259,0.21250000000000568,[0. 0.],[0. 0.],[2.55 6.12 5.86],[2. 2. 2.]
1.5,0.25,1,0.2916666567325592,4.63,7.34,8.18,0.0,0.38,0.06,5.2628571428571425,-0.7665714285714286,-7.287857142857144,-127.67303418627203,0.18142857142858507,[0. 0.],[0. 0.],[4.54 4.87 1.3 ],[2. 2. 2.]
1.5,0.25,2,0.08695652335882187,4.76,5.59,10.58,0.05,0.09,0.06,5.5969999999999995,-0.815,-5.6080000000000005,-89.58254490169676,0.16900000000003956,[0. 0.],[0. 0.],[3.59 4.16 1.33],[2. 2. 2.]
1.5,0.25,3,0.0,9.9,6.3,2.22,0.01,0.03,0.25,,,,,,[0. 0.],[0. 0.],[5.8  5.32 4.89],[2. 2. 2.]
1.5,0.25,4,0.10526315867900848,4.29,6.81,4.23,0.02,0.04,0.03,5.124499999999999,-0.7465,-6.8375,-135.17980271198678,0.1944999999999979,[0. 0.],[0. 0.],[1.49 4.83 4.71],[2. 2. 2.]
1.5,0.25,5,0.1666666716337204,4.66,10.16,3.58,0.0,0.04,0.18,5.14925,-0.75,-10.148,-130.17882716082676,0.16449999999999676,[0. 0.],[0. 0.],[5.49 6.46 5.5 ],[2. 2. 2.]
1.5,0.5,0,0.08695652335882187,5.02,9.13,1.51,0.01,0.02,0.01,5.917,-1.7229999999999999,-9.113,-88.65804692027498,0.14299999999991542,[0. 0.],[0. 0.],[3.27 3.46 1.31],[2. 2. 2.]
