vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,G2,RREV_sig,G1_sig,G2_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,0.0,4.81,9.69,2.22,0.01,0.17,0.02,,,,,,[0. 0.],[0. 0.],[5.47 4.49 3.57],[2. 2. 2.]
1.5,0.0,1,0.0,15.17,6.04,6.3,1.23,0.72,0.08,,,,,,[0. 0.],[0. 0.],[2.08 5.95 3.96],[2. 2. 2.]
1.5,0.0,1,0.0,5.28,10.37,5.22,0.0,0.1,0.03,,,,,,[0. 0.],[0. 0.],[2.27 6.79 5.24],[2. 2. 2.]
1.5,0.0,2,0.0,1.1,6.36,2.43,0.0,0.01,0.09,,,,,,[0. 0.],[0. 0.],[1.26 6.07 4.5 ],[2. 2. 2.]
1.5,0.0,2,0.0,4.8,5.05,3.67,0.06,0.05,0.0,,,,,,[0. 0.],[0. 0.],[1.04 4.05 3.36],[2. 2. 2.]
1.5,0.0,3,0.0,4.89,8.53,4.55,0.04,0.05,0.02,,,,,,[0. 0.],[0. 0.],[6.37 6.68 2.3 ],[2. 2. 2.]
1.5,0.0,3,0.06666667014360428,4.77,12.36,1.76,0.12,0.05,0.01,4.8315,0.0,-12.306000000000001,12.34939247462313,0.18999999999999773,[0. 0.],[0. 0.],[5.99 6.22 2.49],[2. 2. 2.]
1.5,0.0,4,0.0,4.67,3.58,2.04,2.56,1.31,1.08,,,,,,[0. 0.],[0. 0.],[2.18 4.11 1.19],[2. 2. 2.]
1.5,0.0,4,0.0,1.08,6.66,3.39,0.01,0.02,0.87,,,,,,[0. 0.],[0. 0.],[1.5  4.   3.05],[2. 2. 2.]
1.5,0.0,5,0.0,12.56,0.23,5.55,0.3,0.0,0.04,,,,,,[0. 0.],[0. 0.],[2.97 4.94 4.64],[2. 2. 2.]
1.5,0.0,5,0.0,4.8,3.11,2.53,0.0,0.01,0.15,,,,,,[0. 0.],[0. 0.],[4.51 5.03 4.81],[2. 2. 2.]
1.5,0.25,0,0.0,14.91,6.61,8.6,0.61,0.03,0.17,,,,,,[0. 0.],[0. 0.],[6.91 6.55 3.14],[2. 2. 2.]
1.5,0.25,0,0.0,10.02,6.84,1.22,0.06,0.04,0.38,,,,,,[0. 0.],[0. 0.],[4.84 4.72 3.11],[2. 2. 2.]
1.5,0.25,1,0.0,2.05,3.47,7.81,0.04,0.04,0.16,,,,,,[0. 0.],[0. 0.],[2.   5.68 4.19],[2. 2. 2.]
1.5,0.25,1,0.0,4.81,8.01,4.78,0.43,0.36,0.31,,,,,,[0. 0.],[0. 0.],[4.81 3.73 3.47],[2. 2. 2.]
1.5,0.25,2,0.0,14.99,7.83,8.15,0.01,0.08,0.47,,,,,,[0. 0.],[0. 0.],[2.78 5.62 4.96],[2. 2. 2.]
1.5,0.25,2,0.0,3.51,1.7,5.45,0.04,0.02,0.1,,,,,,[0. 0.],[0. 0.],[2.6  2.19 1.15],[2. 2. 2.]
1.5,0.25,3,0.03333333507180214,5.0,5.05,2.06,0.1,0.1,0.6,5.2,-0.6940000000000001,-5.029,-82.69456779144996,0.16599999999999682,[0. 0.],[0. 0.],[5.   3.03 2.3 ],[2. 2. 2.]
1.5,0.25,4,0.04545454680919647,5.39,5.3,2.66,0.01,0.0,0.1,6.2139999999999995,-0.912,-3.056,-59.4867250941681,0.16999999999995907,[0. 0.],[0. 0.],[5.95 4.72 3.49],[2. 2. 2.]
1.5,0.25,4,0.0,11.8,6.24,2.3,0.75,0.0,0.23,,,,,,[0. 0.],[0. 0.],[1.11 4.36 3.49],[2. 2. 2.]
1.5,0.25,5,0.03846153989434242,5.08,7.48,7.19,0.01,0.4,0.23,6.229,-0.914,-4.1610000000000005,-70.50686972489345,0.17500000000001137,[0. 0.],[0. 0.],[5.47 6.05 5.45],[2. 2. 2.]
1.5,0.25,5,0.0,7.69,1.21,1.55,0.14,0.0,0.01,,,,,,[0. 0.],[0. 0.],[2.33 2.9  1.39],[2. 2. 2.]
1.5,0.5,0,0.0,3.85,2.49,2.84,0.15,0.0,0.01,,,,,,[0. 0.],[0. 0.],[4.99 6.46 4.15],[2. 2. 2.]
