vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,7,0.0,4.5,3.62,0.0,0.03,,,,,,[0. 0.],[0. 0.],[4.9  1.98],[1.5 1.5]
1.5,0.0,8,0.0,6.68,0.38,0.12,0.01,,,,,,[0. 0.],[0. 0.],[6.18 1.48],[1.5 1.5]
1.5,0.0,9,0.0,1.29,0.71,0.0,0.01,,,,,,[0. 0.],[0. 0.],[1.2  1.52],[1.5 1.5]
1.5,0.25,7,0.260869562625885,4.57,5.73,0.0,0.0,4.826833333333333,-0.703,-5.724833333333334,-83.60049680017677,0.18966666666666457,[0. 0.],[0. 0.],[4.56 5.37],[1.5 1.5]
1.5,0.25,8,0.0,5.09,5.83,0.01,0.07,,,,,,[0. 0.],[0. 0.],[4.91 2.7 ],[1.5 1.5]
1.5,0.25,9,0.0,10.14,7.28,0.15,0.06,,,,,,[0. 0.],[0. 0.],[5.06 6.74],[1.5 1.5]
1.5,0.5,7,0.0,6.92,7.12,0.07,0.0,,,,,,[0. 0.],[0. 0.],[1.58 6.07],[1.5 1.5]
1.5,0.5,8,1.0,3.59,5.22,0.04,0.06,3.8178333333333327,-1.1118333333333332,-5.204625,-105.81416732525922,0.23400000000000118,[0. 0.],[0. 0.],[4.6  4.59],[1.5 1.5]
1.5,0.5,9,0.0,6.57,0.37,0.03,0.02,,,,,,[0. 0.],[0. 0.],[1.99 1.74],[1.5 1.5]
1.5,0.75,7,0.0416666679084301,5.31,6.16,0.02,0.01,5.666,-2.475,-6.183,-91.80122528939661,0.16399999999998727,[0. 0.],[0. 0.],[5.19 5.42],[1.5 1.5]
1.5,0.75,9,0.0,5.28,5.67,0.0,0.0,,,,,,[0. 0.],[0. 0.],[3.89 3.14],[1.5 1.5]
1.5,1.0,7,0.9090909361839294,4.95,2.31,0.0,0.05,5.8011,-3.3792,-2.3226,-85.15708510134588,0.23859999999999798,[0. 0.],[0. 0.],[1.01 2.48],[1.5 1.5]
1.5,1.0,8,0.0,4.76,4.6,0.01,0.01,,,,,,[0. 0.],[0. 0.],[6.8 4.4],[1.5 1.5]
1.5,1.0,9,0.0416666679084301,4.88,4.13,0.0,0.02,4.92,-2.866,-4.113,-115.6632733230707,0.21399999999999864,[0. 0.],[0. 0.],[6.44 4.37],[1.5 1.5]
1.5,1.25,7,0.2857142984867096,5.33,2.52,0.0,0.0,5.81,-4.230333333333333,-2.5225,-79.61376821000074,0.24233333333337015,[0. 0.],[0. 0.],[6.4  5.29],[1.5 1.5]
1.5,1.25,8,0.8947368264198303,5.1,2.7,0.02,0.0,5.658470588235294,-4.119823529411765,-2.7018823529411766,-87.1927297791834,0.22094117647058753,[0. 0.],[0. 0.],[5.08 1.6 ],[1.5 1.5]
1.5,1.25,9,0.6000000238418579,4.98,3.2,0.0,0.29,5.495833333333333,-3.9885,-3.212666666666667,-89.01243051966973,0.21616666666666598,[0. 0.],[0. 0.],[1.25 6.06],[1.5 1.5]
1.5,1.5,7,0.25,5.09,3.45,0.02,0.0,5.362166666666667,-4.684666666666667,-3.454333333333334,-93.21751298008223,0.23966666666666855,[0. 0.],[0. 0.],[2.83 3.43],[1.5 1.5]
1.5,1.5,8,0.0,6.37,0.46,0.11,0.0,,,,,,[0. 0.],[0. 0.],[1.98 1.26],[1.5 1.5]
1.5,1.5,9,0.0833333358168602,5.25,5.88,0.0,0.0,5.3565,-4.6805,-5.8825,-105.0179707357153,0.17899999999999894,[0. 0.],[0. 0.],[1.48 6.73],[1.5 1.5]
