k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,gamma,reward,flip_trigger,n_rollouts,RREV,OF_x,OF_y,,,,
0,0,,,,,,30.372,-0.0,-0.0,0.202,1.0,-0.0,0.0,0.0,-0.0,-0.0,0.168,0.0,-0.0,-0.0,,,False,,0.06,-0.0,-0.0,,,,
0,0,,,,,,30.378,-0.0,-0.0,0.204,1.0,-0.0,0.0,0.0,-0.0,-0.0,0.171,0.002,0.219,-0.0,,,False,,0.06,-0.0,-0.0,,,,
0,0,,,,,,30.386,-0.0,-0.0,0.205,1.0,-0.0,0.001,0.0,-0.001,-0.0,0.185,0.008,0.618,-0.0,,,False,,0.07,-0.0,-0.0,,,,
0,0,,,,,,30.39,-0.0,-0.0,0.206,1.0,-0.0,0.004,0.0,-0.001,-0.0,0.199,-0.002,1.381,0.0,,,False,,0.07,-0.0,-0.0,,,,
0,0,,,,,,30.394,-0.0,-0.0,0.206,1.0,-0.0,0.005,0.0,-0.001,-0.0,0.207,-0.004,1.676,0.0,,,False,,0.07,-0.0,-0.0,,,,
0,0,,,,,,30.398,-0.0,-0.0,0.207,1.0,-0.0,0.009,0.0,-0.0,-0.0,0.228,0.003,1.644,-0.001,,,False,,0.08,-0.0,-0.0,,,,
0,0,,,,,,30.402,-0.0,-0.0,0.208,1.0,-0.0,0.01,0.0,0.0,-0.0,0.243,0.009,1.561,-0.001,,,False,,0.09,-0.0,0.0,,,,
0,0,,,,,,30.408,-0.0,-0.0,0.21,1.0,-0.0,0.017,0.0,0.004,-0.0,0.301,-0.01,1.68,0.0,,,False,,0.11,-0.0,0.0,,,,
0,0,,,,,,30.412,-0.0,-0.0,0.211,1.0,-0.0,0.019,0.0,0.006,-0.0,0.33,-0.001,1.066,0.0,,,False,,0.12,-0.0,0.0,,,,
0,0,,,,,,30.418,-0.0,-0.0,0.213,1.0,-0.0,0.022,0.0,0.011,-0.0,0.371,-0.006,1.064,0.0,,,False,,0.13,-0.0,0.0,,,,
0,0,,,,,,30.422,-0.0,-0.0,0.215,1.0,-0.0,0.025,0.0,0.013,-0.0,0.399,-0.01,1.255,0.0,,,False,,0.14,-0.0,0.0,,,,
0,0,,,,,,30.428,-0.0,-0.0,0.217,1.0,-0.0,0.028,0.0,0.019,0.0,0.441,0.01,0.902,-0.001,,,False,,0.16,0.0,0.01,,,,
0,0,,,,,,30.432,-0.0,-0.0,0.219,1.0,-0.0,0.03,-0.0,0.022,0.0,0.468,0.002,1.152,-0.001,,,False,,0.17,0.0,0.01,,,,
0,0,,,,,,30.472,0.002,-0.0,0.245,0.999,-0.0,0.048,-0.0,0.077,0.0,0.739,0.005,0.565,-0.003,,,False,,0.27,0.0,0.03,,,,
0,0,,,,,,30.478,0.002,-0.0,0.248,0.999,-0.0,0.049,-0.0,0.083,0.0,0.763,0.014,0.292,-0.004,,,False,,0.28,0.0,0.03,,,,
0,0,,,,,,30.482,0.003,-0.0,0.251,0.999,0.0,0.049,-0.0,0.089,0.0,0.787,0.02,0.231,-0.002,,,False,,0.29,0.0,0.03,,,,
0,0,,,,,,30.488,0.003,-0.0,0.256,0.999,0.0,0.051,-0.0,0.098,0.0,0.822,-0.006,0.743,0.003,,,False,,0.3,0.0,0.04,,,,
0,0,,,,,,30.492,0.004,-0.0,0.261,0.999,-0.0,0.053,0.0,0.108,0.0,0.857,-0.011,0.641,0.004,,,False,,0.31,0.0,0.04,,,,
0,0,,,,,,30.538,0.01,-0.0,0.304,0.998,-0.0,0.062,0.0,0.186,0.0,1.094,-0.001,0.227,0.001,,,False,,0.41,0.0,0.07,,,,
0,0,,,,,,30.558,0.015,-0.0,0.33,0.998,-0.0,0.064,-0.0,0.227,0.0,1.202,-0.002,0.322,0.001,,,False,,0.45,0.0,0.09,,,,
0,0,,,,,,30.562,0.016,-0.0,0.335,0.998,-0.0,0.064,0.0,0.234,0.0,1.22,-0.002,0.254,0.003,,,False,,0.46,0.0,0.09,,,,
0,0,,,,,,30.602,0.026,-0.0,0.384,0.998,-0.0,0.066,0.0,0.306,0.0,1.389,-0.001,0.118,0.002,,,False,,0.53,0.0,0.12,,,,
0,0,,,,,,30.608,0.028,-0.0,0.393,0.998,-0.0,0.067,0.0,0.317,0.0,1.414,0.0,0.013,0.001,,,False,,0.54,0.0,0.12,,,,
0,0,,,,,,30.612,0.029,-0.0,0.399,0.998,-0.0,0.067,0.0,0.324,0.0,1.43,0.001,-0.037,-0.0,,,False,,0.55,0.0,0.12,,,,
0,0,,,,,,30.618,0.031,-0.0,0.407,0.998,-0.0,0.066,0.0,0.336,0.0,1.455,0.002,-0.104,-0.001,,,False,,0.56,0.0,0.13,,,,
0,0,,,,,,30.622,0.033,-0.0,0.416,0.998,-0.0,0.066,0.0,0.347,0.0,1.479,0.001,-0.053,-0.002,,,False,,0.57,0.0,0.13,,,,
0,0,,,,,,30.628,0.035,-0.0,0.422,0.998,-0.0,0.066,0.0,0.354,0.0,1.494,0.001,-0.023,-0.001,,,False,,0.58,0.0,0.14,,,,
0,0,,,,,,30.632,0.036,-0.0,0.428,0.998,-0.0,0.066,0.0,0.361,0.0,1.51,0.001,-0.029,-0.0,,,False,,0.59,0.0,0.14,,,,
0,0,,,,,,30.638,0.038,-0.0,0.437,0.998,-0.0,0.066,0.0,0.376,0.0,1.54,0.0,-0.029,0.001,,,False,,0.6,0.0,0.15,,,,
0,0,,,,,,30.642,0.041,-0.0,0.446,0.998,-0.0,0.066,0.0,0.383,0.0,1.555,0.0,-0.053,0.001,,,False,,0.61,0.0,0.15,,,,
0,0,,,,,,30.648,0.042,-0.0,0.453,0.998,-0.0,0.066,0.0,0.39,0.0,1.57,0.001,-0.11,0.001,,,False,,0.62,0.0,0.15,,,,
0,0,,,,,,30.654,0.045,-0.0,0.462,0.998,-0.0,0.065,0.0,0.401,0.0,1.592,-0.001,-0.082,-0.0,,,False,,0.63,0.0,0.16,,,,
0,0,,,,,,30.658,0.048,-0.0,0.475,0.998,-0.0,0.065,0.0,0.415,0.0,1.62,0.001,-0.135,-0.001,,,False,,0.64,0.0,0.16,,,,
0,0,,,,,,30.664,0.049,-0.0,0.478,0.998,-0.0,0.065,0.0,0.418,0.0,1.628,0.001,-0.136,-0.001,,,False,,0.65,0.0,0.17,,,,
0,0,,,,,,30.668,0.05,-0.0,0.485,0.998,-0.0,0.065,0.0,0.425,0.0,1.642,0.0,-0.088,-0.001,,,False,,0.65,0.0,0.17,,,,
0,0,,,,,,30.672,0.052,-0.0,0.492,0.998,-0.0,0.064,0.0,0.432,0.0,1.655,-0.001,-0.08,-0.0,,,False,,0.66,0.0,0.17,,,,
0,0,,,,,,30.678,0.055,-0.0,0.502,0.998,0.0,0.064,0.0,0.442,0.0,1.676,0.002,-0.195,-0.0,,,False,,0.67,0.0,0.18,,,,
0,0,,,,,,30.682,0.057,-0.0,0.508,0.998,0.0,0.064,0.0,0.449,0.0,1.689,0.001,-0.149,0.0,,,False,,0.68,0.0,0.18,,,,
0,0,,,,,,30.688,0.06,-0.0,0.522,0.998,0.0,0.063,0.0,0.462,0.0,1.715,0.0,-0.131,0.0,,,False,,0.69,0.0,0.19,,,,
0,0,,,,,,30.692,0.061,-0.0,0.525,0.998,0.0,0.063,0.0,0.466,0.0,1.722,0.001,-0.162,0.0,,,False,,0.7,0.0,0.19,,,,
0,0,,,,,,30.698,0.064,-0.0,0.536,0.998,0.0,0.063,0.0,0.476,0.0,1.741,-0.002,-0.097,0.0,,,False,,0.71,0.0,0.19,,,,
0,0,,,,,,30.702,0.066,-0.0,0.543,0.998,-0.0,0.062,0.0,0.482,0.0,1.754,-0.002,-0.097,0.0,,,False,,0.71,0.0,0.2,,,,
0,0,,,,,,30.708,0.069,-0.0,0.553,0.998,-0.0,0.062,0.0,0.492,0.0,1.773,0.003,-0.237,-0.001,,,False,,0.72,0.0,0.2,,,,
0,0,,,,,,30.712,0.071,-0.0,0.561,0.998,0.0,0.061,0.0,0.498,0.0,1.785,0.002,-0.198,-0.001,,,False,,0.73,0.0,0.2,,,,
0,0,,,,,,30.718,0.074,-0.0,0.571,0.998,0.0,0.061,0.0,0.508,0.0,1.804,0.002,-0.194,-0.001,,,False,,0.74,0.0,0.21,,,,
0,0,,,,,,30.722,0.076,-0.0,0.579,0.998,0.0,0.06,0.0,0.514,0.0,1.816,0.004,-0.295,-0.001,,,False,,0.75,0.0,0.21,,,,
0,0,,,,,,30.728,0.079,-0.0,0.59,0.998,0.0,0.06,0.0,0.523,0.0,1.834,-0.0,-0.157,0.001,,,False,,0.76,0.0,0.22,,,,
0,0,,,,,,30.732,0.081,-0.0,0.597,0.998,0.0,0.06,0.0,0.529,0.0,1.845,-0.004,-0.087,0.001,,,False,,0.77,0.0,0.22,,,,
0,0,,,,,,30.738,0.084,-0.0,0.608,0.998,0.0,0.059,0.0,0.539,0.0,1.863,-0.001,-0.167,0.001,,,False,,0.78,0.0,0.23,,,,
0,0,,,,,,30.742,0.087,-0.0,0.616,0.998,0.0,0.059,0.0,0.545,0.0,1.874,0.0,-0.192,-0.0,,,False,,0.79,0.0,0.23,,,,
0,0,,,,,,30.748,0.09,-0.0,0.627,0.998,0.0,0.058,0.0,0.553,0.0,1.891,-0.002,-0.163,-0.0,,,False,,0.8,0.0,0.23,,,,
0,0,,,,,,30.752,0.091,-0.0,0.631,0.998,0.0,0.058,0.0,0.556,0.0,1.896,0.0,-0.199,-0.001,,,False,,0.8,0.0,0.23,,,,
0,0,,,,,,30.758,0.095,-0.0,0.646,0.998,0.0,0.057,0.0,0.568,0.0,1.918,0.001,-0.207,-0.0,,,False,,0.81,0.0,0.24,,,,
0,0,,,,,,30.762,0.098,-0.0,0.654,0.998,0.0,0.057,0.0,0.574,0.0,1.929,-0.002,-0.16,0.0,,,False,,0.82,0.0,0.24,,,,
0,0,,,,,,30.768,0.101,-0.0,0.665,0.998,0.0,0.056,0.0,0.582,0.0,1.945,0.003,-0.293,-0.0,,,False,,0.83,0.0,0.25,,,,
0,0,,,,,,30.772,0.102,-0.0,0.669,0.998,0.0,0.056,0.0,0.585,0.0,1.95,0.004,-0.345,-0.0,,,False,,0.84,0.0,0.25,,,,
0,0,,,,,,30.778,0.107,-0.0,0.685,0.998,0.0,0.055,0.0,0.596,0.0,1.971,-0.004,-0.109,0.001,,,False,,0.85,0.0,0.26,,,,
0,0,,,,,,30.782,0.111,-0.0,0.697,0.999,0.0,0.055,0.0,0.604,0.0,1.986,-0.003,-0.074,0.001,,,False,,0.86,0.0,0.26,,,,
0,0,,,,,,30.788,0.113,-0.0,0.705,0.999,0.0,0.054,0.0,0.61,0.0,1.996,-0.001,-0.142,0.0,,,False,,0.87,0.0,0.27,,,,
0,0,,,,,,30.792,0.116,-0.0,0.713,0.999,-0.0,0.054,0.0,0.615,0.0,2.006,-0.003,-0.154,-0.0,,,False,,0.88,0.0,0.27,,,,
0,0,,,,,,30.798,0.119,-0.0,0.725,0.999,-0.0,0.053,0.0,0.623,0.0,2.021,0.003,-0.323,-0.001,,,False,,0.89,0.0,0.27,,,,
0,0,,,,,,30.802,0.122,-0.0,0.733,0.999,0.0,0.052,0.0,0.628,0.0,2.03,0.007,-0.453,-0.001,,,False,,0.9,0.0,0.28,,,,
0,0,,,,,,30.808,0.126,-0.0,0.745,0.999,0.0,0.052,-0.0,0.636,0.0,2.045,-0.001,-0.208,-0.0,,,False,,0.91,0.0,0.28,,,,
0,0,,,,,,30.812,0.128,-0.0,0.753,0.999,0.0,0.051,0.0,0.641,0.0,2.054,-0.002,-0.152,0.001,,,False,,0.91,0.0,0.29,,,,
0,0,,,,,,30.818,0.132,-0.0,0.766,0.999,0.0,0.051,0.0,0.648,0.0,2.068,-0.004,-0.064,0.002,,,False,,0.93,0.0,0.29,,,,
0,0,,,,,,30.822,0.135,-0.0,0.774,0.999,-0.0,0.051,0.0,0.653,0.0,2.077,-0.006,-0.049,0.002,,,False,,0.93,0.0,0.29,,,,
0,0,,,,,,30.828,0.139,-0.0,0.787,0.999,-0.0,0.051,0.0,0.661,0.0,2.091,-0.001,-0.191,-0.0,,,False,,0.94,0.0,0.3,,,,
0,0,,,,,,30.832,0.141,-0.0,0.795,0.999,-0.0,0.05,0.0,0.666,0.0,2.1,0.006,-0.434,-0.002,,,False,,0.95,0.0,0.3,,,,
0,0,,,,,,30.838,0.145,-0.0,0.808,0.999,0.0,0.049,0.0,0.673,0.0,2.113,0.002,-0.318,-0.002,,,False,,0.96,0.0,0.31,,,,
0,0,,,,,,30.842,0.148,-0.0,0.816,0.999,-0.0,0.048,-0.0,0.677,0.0,2.121,-0.002,-0.229,-0.001,,,False,,0.97,0.0,0.31,,,,
0,0,,,,,,30.848,0.152,-0.0,0.829,0.999,0.0,0.047,-0.0,0.684,0.0,2.134,0.001,-0.283,0.001,,,False,,0.98,0.0,0.32,,,,
0,0,,,,,,30.852,0.155,-0.0,0.837,0.999,-0.0,0.047,0.0,0.689,0.0,2.143,-0.003,-0.107,0.002,,,False,,0.99,0.0,0.32,,,,
0,0,,,,,,30.858,0.16,-0.0,0.855,0.999,-0.0,0.047,0.0,0.698,0.0,2.159,-0.002,-0.09,0.002,,,False,,1.01,0.0,0.33,,,,
0,0,,,,,,30.862,0.163,-0.0,0.863,0.999,-0.0,0.046,0.0,0.702,0.0,2.167,0.002,-0.256,0.0,,,False,,1.01,0.0,0.33,,,,
0,0,,,,,,30.868,0.168,-0.0,0.876,0.999,-0.0,0.046,0.0,0.709,0.0,2.179,-0.001,-0.212,-0.001,,,False,,1.03,0.0,0.33,,,,
0,0,,,,,,30.872,0.169,-0.0,0.881,0.999,-0.0,0.045,0.0,0.711,0.0,2.183,-0.003,-0.197,-0.001,,,False,,1.03,0.0,0.34,,,,
0,0,,,,,,30.878,0.173,-0.0,0.894,0.999,-0.0,0.045,0.0,0.717,0.0,2.195,0.003,-0.338,-0.001,,,False,,1.04,0.0,0.34,,,,
0,0,,,,,,30.882,0.176,-0.0,0.903,0.999,-0.0,0.044,0.0,0.722,0.0,2.203,0.005,-0.367,-0.001,,,False,,1.05,0.0,0.34,,,,
0,0,,,,,,30.888,0.18,-0.0,0.916,0.999,-0.0,0.043,0.0,0.728,0.0,2.214,-0.001,-0.17,0.0,,,False,,1.06,0.0,0.35,,,,
